name_cn,name_en
"博洛尼亚大学","Alma Mater Studiorum - University of Bologna"
"埃因霍温科技大学","Eindhoven University of Technology"
"北卡罗来纳大学教堂山分校","University of North Carolina at Chapel Hill"
"沙特国王大学","King Saud University"
"柏林工业大学","Technical University of Berlin"
"南加州大学","University of Southern California"
"格罗宁根大学","University of Groningen"
"利物浦大学","University of Liverpool"
"斯德哥尔摩大学","Stockholm University"
"开普敦大学","University of Cape Town"
"维也纳大学","University of Vienna"
"瓦赫宁根大学与研究院","Wageningen University & Research"
"马来西亚工艺大学","Universiti Teknologi Malaysia"
"埃克塞特大学","University of Exeter"
"日内瓦大学","University of Geneva"
"兰开斯特大学","Lancaster University"
"巴塞尔大学","University of Basel"
"汉阳大学","Hanyang University"
"巴塞罗那大学","Universitat de Barcelona"
"密歇根州立大学","Michigan State University"
"阿卜杜勒阿齐兹国王大学","King Abdulaziz University"
"查尔姆斯理工大学","Chalmers University of Technology"
"阿尔-法拉比国立大学","Al-Farabi Kazakh National University"
"圣路易斯华盛顿大学","Washington University in St Louis"
"蒙特利尔大学","Université de Montréal"
"约克大学","University of York"
"北海道大学","Hokkaido University"
"巴塞罗那自治大学","Autonomous University of Barcelona"
"麦克马斯特大学","McMaster University"
"智利大学","Universidad de Chile"
"国立清华大学","National Tsing Hua University"
"加州大学圣塔芭芭拉分校","University of California, Santa Barbara"
"印度马德拉斯技术学院","Indian Institute of Technology Madras"
"卧龙岗大学","University of Wollongong"
"伯尔尼大学","University of Bern"
"马德里康普顿斯大学","Complutense University of Madrid"
"蒙特雷技术学院","Tecnologico de Monterrey"
"印度尼西亚大学","University of Indonesia"
"天主教鲁汶大学（法语区）","Université Catholique de Louvain"
"汉堡大学","Universität Hamburg"
"雷丁大学","University of Reading"
"阿姆斯特丹自由大学","Vrije Universiteit Amsterdam"
"奥塔哥大学","University of Otago"
"维也纳工业大学","Technische Universität Wien"
"国立阳明大学","National Yang Ming Chiao Tung University"
"贝尔法斯特女王大学","Queen’s University Belfast"
"弗赖堡大学","Albert-Ludwigs-Universitaet Freiburg"
"哥德堡大学","University of Gothenburg"
"国立成功大学","National Cheng Kung University"
"特温特大学","University of Twente"
"里昂高等师范学校","Ecole Normale Superieure - Lyon"
"马德里自治大学","Autonomous University of Madrid"
"波恩大学","Rheinische Friedrich-Wilhelms-Universität Bonn"
"马里兰大学帕克分校","University of Maryland, College Park"
"明尼苏达大学双城分校","University of Minnesota"
"卡尔加里大学","University of Calgary"
"安德斯大学","Universidad de los Andes"
"佛罗里达大学","University of Florida"
"洛桑大学","University of Lausanne"
"蒂宾根大学","Eberhard Karls Universität Tübingen"
"印度理工学院卡拉格普尔分校","Indian Institute of Technology Kharagpur"
"德累斯顿工业大学","Technische Universität Dresden"
"印度科学研究所","Indian Institute of Science"
"渥太华大学","University of Ottawa"
"朱拉隆功大学","Chulalongkorn University"
"印度理工学院坎普尔","Indian Institute of Technology Kanpur"
"加贾玛达大学","Universitas Gadjah Mada"
"拉夫堡大学","Loughborough University"
"昆士兰科技大学","Queensland University of Technology"
"澳大利亚纽卡斯尔大学","The University of Newcastle, Australia"
"布鲁塞尔自由大学","Universite libre de Bruxelles"
"阿联酋大学","United Arab Emirates University"
"里斯本大学","University of Lisbon"
"埃尔兰根 - 纽伦堡大学","University of Erlangen-Nuremberg"
"帕多瓦大学","Università di Padova"
"坎皮纳斯州立大学","State University of Campinas"
"罗彻斯特大学","University of Rochester"
"波尔图大学","University of Porto"
"贝鲁特美国大学","American University of Beirut"
"马斯特里赫特大学","Maastricht University"
"耶路撒冷希伯来大学","The Hebrew University of Jerusalem"
"维多利亚大学","Victoria University of Wellington"
"都灵理工大学","Politecnico di Torino"
"格奥尔格·奥古斯特·哥廷根大学","Georg-August-Universität Göttingen"
"香港浸会大学","Hong Kong Baptist University"
"哈马德·本·哈利法大学","Hamad Bin Khalifa University"
"科克大学","University College Cork"
"马萨诸塞大学安姆斯特分校","University of Massachusetts"
"北京师范大学","Beijing Normal University"
"达特茅斯学院","Dartmouth College"
"范德堡大学","Vanderbilt University"
"国油大学","Universiti Teknologi Petronas"
"斯特拉斯克莱德大学","University of Strathclyde"
"达姆施塔特工业大学","Technical University Darmstadt"
"万隆理工学院（ITB）","Bandung Institute of Technology (ITB)"
"哈尔滨工业大学","Harbin Institute of Technology"
"巴黎第一大学","Panthéon-Sorbonne University – Paris 1"
"天津大学","Tianjin University"
"哥伦比亚国立大学","National University of Colombia"
"北京理工大学","Beijing Institute of Technology"
"坎特伯雷大学","University of Canterbury"
"阿伯丁大学","University of Aberdeen"
"纳瓦拉大学","University of Navarra"
"萨里大学","University of Surrey"
"庞培法布拉大学","Pompeu Fabra University"
"挪威科技大学","Norwegian University of Science and Technology"
"格里菲斯大学","Griffith University"
"中东技术大学","Middle East Technical University"
"华沙大学","University of Warsaw"
"北卡罗来纳州立大学","North Carolina State University"
"科隆大学","Universität zu Köln"
"美国沙迦大学","American University of Sharjah"
"弗吉尼亚大学","University of Virginia"
"中山大学","Sun Yat-sen University"
"米兰大学","University of Milan"
"萨塞克斯大学","University of Sussex"
"安特卫普大学","University of Antwerp"
"匹兹堡大学","University of Pittsburgh"
"怀卡托大学","University of Waikato"
"高威大学","University of Galway – Ollscoil na Gaillimhe"
"乔治敦大学","Georgetown University"
"澳门大学","University of Macau"
"卑尔根大学","University of Bergen"
"爱兰加大学","Airlangga University"
"赫瑞瓦特大学","Heriot Watt University"
"亚利桑那大学","The University of Arizona"
"威特沃特斯兰德大学","University of the Witwatersrand"
"加州大学欧文分校","University of California, Irvine"
"圣母大学","University of Notre Dame"
"斯威本科技大学","Swinburne University of Technology"
"布鲁塞尔大学","Vrije Universiteit Brussel"
"凯斯西储大学","Case Western Reserve University"
"伊斯坦布尔理工大学","Istanbul Technical University"
"科罗拉多大学-玻尔得","University of Colorado at Boulder"
"巴黎西岱大学","Université Paris Cité"
"马德里卡洛斯三世大学","Universidad Carlos III de Madrid"
"斯泰伦博斯大学","Stellenbosch University"
"南丹麦大学","University of Southern Denmark"
"雅盖隆大学","Jagiellonian University"
"西安交通大学","Xi’an Jiaotong University"
"印第安纳大学伯明顿分校","Indiana University"
"约翰内斯堡大学","University of Johannesburg"
"西蒙弗雷泽大学","Simon Fraser University"
"林雪平大学","Linkoping University"
"伦敦大学圣乔治学院","St George’s, University of London"
"蔚山国立科学技术研究所","Ulsan National Institute of Science & Technology"
"斯图加特大学","Universität Stuttgart"
"迈阿密大学","University of Miami"
"塔斯马尼亚大学","University of Tasmania"
"法兰克福大学","Goethe University Frankfurt"
"里约热内卢联邦大学","Federal University of Rio de Janeiro"
"国立欧亚大学","L.N. Gumilyov Eurasian National University"
"华中科技大学","Huazhong University of Science and Technology"
"鲍曼莫斯科国立技术大学","Bauman Moscow State Technical University"
"格勒诺布尔阿尔卑斯大学","Grenoble Alpes University"
"德黑兰大学","University of Tehran"
"约旦大学","The University of Jordan"
"莱斯特大学","University of Leicester"
"新里斯本大学","NOVA University Lisbon"
"罗格斯大学","Rutgers University–New Brunswick"
"德里大学","University of Delhi"
"沙迦大学","University of Sharjah"
"庆熙大学","Kyung Hee University"
"萨特巴耶夫大学","Satbayev University"
"马德里理工大学","Universidad Politécnica de Madrid"
"伊利诺伊大学芝加哥分校","University of Illinois at Chicago"
"印度理工学院古瓦哈提","Indian Institute of Technology Guwahati"
"苏丹卡布斯大学","Sultan Qaboos University"
"山东大学","Shandong University"
"印度理工学院鲁尔基校区","Indian Institute of Technology Roorkee"
"奥卢大学","University of Oulu"
"比萨大学","University of Pisa"
"南方科技大学","Southern University of Science & Technology"
"国立台湾科技大学","National Taiwan University of Science and Technology"
"秘鲁天主教大学","Pontifical Catholic University of Peru"
"蒂尔堡大学","Tilburg University"
"科英布拉大学","University of Coimbra"
"因斯布鲁克大学","University of Innsbruck"
"明斯特大学","University of Muenster"
"以色列理工学院","Technion - Israel Institute of Technology"
"筑波大学","University of Tsukuba"
"真纳大学","Quaid I Azam University"
"雅典国立技术大学","National Technical University of Athens"
"维多利亚大学","University of Victoria"
"弗吉尼亚理工","Virginia Polytechnic Institute and State University"
"乔治华盛顿大学","George Washington University"
"中国科学院大学","University of Chinese Academy of Sciences"
"比勒陀利亚大学","University of Pretoria"
"塔尔图大学","University of Tartu"
"菲律宾大学","University of the Philippines"
"图尔库大学","University of Turku"
"科学宝","Sciences Po"
"文莱达鲁萨兰国大学","Universiti Brunei Darussalam (UBD)"
"大邱庆北科技大学","Daegu Gyeongbuk Institute of Science & Technology"
"海峡大学","Bogaziçi Üniversitesi"
"国立科技大学-巴基斯坦","National University of Sciences & Technology - Pakistan"
"哈韦里亚纳大学","Pontificia Universidad Javeriana"
"牛津布鲁克斯大学","Oxford Brookes University"
"圣彼得堡国立大学","Saint Petersburg State University"
"谢里夫科技大学","Sharif University of Technology"
"华南理工大学","South China University of Technology"
"萨斯喀彻温大学","University of Saskatchewan"
"列日大学","University of Liege"
"那不勒斯菲里德里克第二大学","University of Naples - Federico II"
"东英吉利大学","University of East Anglia"
"卢森堡大学","University of Luxembourg"
"开罗美国大学","The American University in Cairo"
"东北大学","Northeastern University"
"伦敦布鲁内尔大学","Brunel University London"
"光州科学技术学院","Gwangju Institute of Science and Technology"
"弗林德斯大学","Flinders University"
"伦敦大学伯贝克学院","Birkbeck University London"
"雅典大学","National and Kapodistrian University of Athens"
"阿布扎比大学","Abu Dhabi University"
"加泰罗尼亚理工大学","Polytechnic University of Catalonia"
"东南大学","Southeast University"
"波鸿大学","University of Bochum"
"肯特大学","University of Kent"
"拉彭兰塔理工大学","Lappeenranta University of Technology"
"西悉尼大学","University of Western Sydney"
"格拉纳达大学","University of Granada"
"利默里克大学","University of Limerick"
"佛罗伦萨大学","University of Florence"
"里昂国家科学研究院","Institut National des Sciences Appliquées de Lyon (INSA)"
"都灵大学","University of Turin"
"米兰圣心天主教大学","Università Cattolica del Sacro Cuore"
"纽约州立大学布法罗分校","University at Buffalo"
"南昆士兰大学","University of Southern Queensland"
"奥克兰理工大学","Auckland University of Technology"
"都柏林城市大学","Dublin City University"
"布拉格捷克技术大学","Czech Technical University in Prague"
"维尔茨堡大学","Julius-Maximilians-Universität Würzburg"
"曼海姆大学","Universität Mannheim"
"阿威罗大学","University of Aveiro"
"斯特拉斯堡大学","Université de Strasbourg"
"国立台北科技大学","National Taipei University of Technology"
"瓦伦西亚理工大学","Polytechnic University of Valencia"
"默多克大学","Murdoch University"
"华盛顿州立大学","Washington State University"
"帕维亚大学研究学院","Università degli Studi di Pavia"
"坦佩雷大学","University of Tampere"
"格拉茨科技大学","Graz University of Technology"
"艾克斯 - 马赛大学","Aix-Marseille University"
"邓迪大学","University of Dundee"
"瓦伦西亚大学","Universitat de Valencia"
"蒙彼利埃大学","Montpellier University"
"汉诺威莱布尼兹大学","Leibniz University Hannover"
"华东师范大学","East China Normal University"
"国立台湾师范大学","National Taiwan Normal University"
"穆罕默德·本·法赫德王子大学","Prince Mohammad Bin Fahd university"
"拉蒙鲁尔大学","Universitat Ramon Llull"
"国立中山大学","National Sun Yat-Sen University"
"澳门科技大学","Macau University of Science & Technology"
"詹姆斯库克大学","James Cook University"
"康斯坦茨大学","Universität Konstanz"
"加州大学河滨分校","University of California, Riverside"
"白俄罗斯国立大学","Belarusian State University"
"拜罗伊特大学","University of Bayreuth"
"喀山联邦大学","Kazan Federal University"
"塞浦路斯大学","University of Cyprus"
"深圳大学","Shenzhen University"
"纽约州立大学石溪分校","Stony Brook University"
"约翰内斯古腾堡美因茨大学","Johannes Gutenberg University of Mainz"
"阿米尔卡比尔理工大学","Amirkabir University of Technology"
"埃塞克斯大学","University of Essex"
"拉普拉塔国立大学","Universidad Nacional de La Plata (UNLP)"
"加州大学圣克鲁兹分校","University of California, Santa Cruz"
"科罗拉多州立大学","Colorado State University"
"约旦科技大学","Jordan University of Science & Technology"
"圣拉斐尔生命健康大学","Università Vita-Salute San Raffaele"
"新西伯利亚州立大学","Novosibirsk State University"
"伦敦大学皇家霍洛威学院","Royal Holloway University of London"
"上海大学","Shanghai University"
"康考迪亚大学","Concordia University"
"堪萨斯大学","University of Kansas"
"塞维利亚大学","Universidad de Sevilla"
"拉瓦尔大学","Université Laval"
"塔什干灌溉与农业机械化工程师学院 (TIIAME)","Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research"
"内盖夫本古里安大学","Ben-Gurion University of the Negev"
"约翰内斯开普勒大学林茨","Johannes Kepler University Linz"
"提契诺大学","Università della Svizzera Italiana"
"釜山国立大学","Pusan National University"
"莫斯科物理科学与技术学院","Moscow Institute of Physics and Technology"
"波茨坦大学","Universität Potsdam"
"中央大学","Chung-Ang University"
"广岛大学","Hiroshima University"
"北京科技大学","University of Science & Technology Beijing"
"大连理工大学","Dalian University of Technology"
"塞萨洛尼基亚里士多德大学","Aristotle University of Thessaloniki"
"特伦托大学","University of Trento"
"华沙工业大学","Warsaw University of Technology"
"伊迪丝科文大学","Edith Cowan University"
"弗莱堡工业大学","Technical University Freiberg"
"智利圣地亚哥大学","Universidad de Santiago de Chile"
"马来西亚北方大学","Universiti Utara Malaysia"
"中南大学","Central South University"
"阿卜杜勒拉曼费萨尔大学","Imam Abdulrahman Bin Faisal University"
"波尔多大学","Universite de Bordeaux"
"堪培拉大学","University of Canberra"
"伊朗科技大学","Iran University of Science & Technology"
"贾森·利比希大学","Justus Liebig University Giessen"
"于韦斯屈莱大学","University of Jyvaskyla"
"托木斯克州立大学","Tomsk State University"
"哥斯达黎加大学","Universidad de Costa Rica"
"中央昆士兰大学","Central Queensland University"
"西北工业大学","Northwestern Polytechnical University"
"肖里尼生物技术与管理科学大学","Shoolini University of Biotechnology and Management Sciences"
"中国农业大学","China Agricultural University"
"重庆大学","Chongqing University"
"梨花女子大学","Ewha Womans University"
"圭尔夫大学","University of Guelph"
"印尼泗水理工大学","Institut Teknologi Sepuluh Nopember"
"马尼拉雅典大学","Ateneo de Manila University"
"新加坡管理大学","Singapore Management University"
"伦敦大学亚非学院","SOAS University of London"
"布拉德福德大学","University of Bradford"
"帕贾扎兰大学","Universitas Padjadjaran"
"黎巴嫩大学","Lebanese University"
"阿根廷天主教大学","Pontificia Universidad Católica Argentina"
"斯特灵大学","University of Stirling"
"南方大学","Universidad Austral"
"中国电子科技大学","University of Electronic Science and Technology of China"
"庆北国立大学","Kyungpook National University"
"新加坡科技设计大学","Singapore University of Technology & Design"
"乌拉尔联邦大学","Ural Federal University"
"哈德斯菲尔德大学","University of Huddersfield"
"佐治亚大学","The University of Georgia"
"赫尔大学","University of Hull"
"萨拉曼卡大学","University of Salamanca"
"清迈大学","Chiang Mai University"
"不来梅大学","Universität Bremen"
"热那亚大学","University of Genoa"
"爱荷华大学","University of Iowa"
"香港教育大学","The Education University of Hong Kong"
"康涅狄格大学","University of Connecticut"
"莱比锡大学","Universität  Leipzig"
"卢布尔雅那大学","University of Ljubljana"
"黎巴嫩美国大学","Lebanese American University"
"苏丹王子大学 (PSU)","Prince Sultan University (PSU)"
"哈立德国王大学","King Khalid University"
"犹他大学","University of Utah"
"玛拉理工大学","Universiti Teknologi MARA"
"米兰 - 比可卡大学","University of Milan-Bicocca"
"旁遮普大学","University of the Punjab"
"夏威夷大学马诺阿分校","University of Hawai’i at Mānoa"
"温莎大学","University of Windsor"
"诺桑比亚大学","Northumbria University"
"法政大学","Thammasat University"
"国能大学","Universiti Tenaga Nasional (UNITEN)"
"特拉华大学","University of Delaware"
"一桥大学","Hitotsubashi University"
"拉合尔管理科学大学","Lahore University of Management Sciences"
"印度理工学院印多尔","Indian Institute of Technology Indore"
"休斯敦大学","University of Houston"
"夸祖鲁纳塔尔大学","University of KwaZulu Natal"
"贾瓦哈拉尔尼赫鲁大学","Jawaharlal Nehru University"
"中东美国大学","American University of the Middle East"
"德布勒森大学","University of Debrecen"
"米尼奥大学","University of Minho"
"印度理工学院（IIT BHU）-瓦拉纳西","Indian Institute of Technology (IIT BHU) - Varanasi"
"中国人民大学","Renmin (People's) University of China"
"Savitribai普鲁大学","Savitribai Phule Pune University"
"里约热内卢天主教大学","Pontifícia Universidade Católica do Rio de Janeiro"
"科罗拉多矿业大学","Colorado School of Mines"
"哈斯特帕大学","Hacettepe University"
"伊斯法罕理工大学","Isfahan University of Technology"
"布尔诺工业大学","Brno University of Technology"
"耶拿大学","Universität Jena"
"昌迪加尔大学","Chandigarh University"
"文莱大学","Universiti Teknologi Brunei"
"大不里士大学","University of Tabriz"
"阿道夫·伊巴涅斯大学","Adolfo Ibáñez University"
"科米利亚斯宗座大学","Comillas Pontifical University"
"冰岛大学","University of Iceland"
"达卡大学","University of Dhaka"
"查尔斯达尔文大学","Charles Darwin University"
"美利坚大学","American University"
"克劳德伯纳德大学里昂","Claude Bernard University Lyon 1"
"国立中央大学","National Central University"
"图卢兹第三大学","Paul Sabatier University (Toulouse 3)"
"国立核研究大学-莫斯科工程物理学院","National Research Nuclear University MEPhI"
"伊利诺伊理工学院","Illinois Institute of Technology"
"哈伊马角美国大学","American University of Ras Al Khaimah"
"米纳斯吉拉斯州联邦大学","Universidade Federal de Minas Gerais"
"塞格德大学","University of Szeged"
"管理科学大学","Management and Science University"
"台北医科大学","Taipei Medical University"
"德克萨斯大学-达拉斯","The University of Texas at Dallas"
"马来西亚亚太科技创新大学 (APU)","Asia Pacific University of Technology and Innovation (APU) Malaysia"
"东芬兰大学","University of Eastern Finland"
"迪拜加拿大大学","Canadian University Dubai"
"国立政治大学","National Chengchi University"
"田纳西大学","The University of Tennessee, Knoxville"
"锡耶纳大学","University of Siena"
"马来西亚彭亨大学","Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA)"
"诺丁汉特伦特大学","Nottingham Trent University"
"彼得大帝圣彼得堡理工大学","Peter the Great St Petersburg Polytechnic University"
"康塞普西翁大学","Universidad de Concepción"
"普利茅斯大学","University of Plymouth"
"巴林应用科学大学","Applied Science University - Bahrain"
"纽约市立大学","City University of New York"
"马来西亚国际伊斯兰大学","International Islamic University Malaysia"
"基尔大学","Christian-Albrechts-University zu Kiel"
"东国大学","Dongguk University"
"贝鲁特圣约瑟夫大学","Saint Joseph University of Beirut (USJ)"
"郑州大学","Zhengzhou University"
"乌姆古拉大学","Umm Al-Qura University"
"新不伦瑞克大学","University of New Brunswick"
"俄勒冈州立大学","Oregon State University"
"瓦斯科国家大学","Universidad del Pais Vasco"
"迪蓬五郎大学","Diponegoro University"
"圣地亚哥德孔波斯特拉大学","Universidade de Santiago de Compostela"
"克里特岛大学","University of Crete"
"南卡罗来纳大学","University of South Carolina"
"密苏里科技大学","Missouri University of Science & Technology"
"国立中兴大学","National Chung Hsing University"
"阿拜哈萨克斯坦国立师范大学","Abai Kazakh National Pedagogical University"
"伊斯坦布尔大学","Istanbul University"
"朴茨茅斯大学","University of Portsmouth"
"塔林科技大学","Tallinn University of Technology"
"南十字大学","Southern Cross University"
"马来西亚林肯大学学院","Lincoln University College, Malaysia"
"萨拉戈萨大学","Universidad de Zaragoza"
"布拉格化工大学","University of Chemistry & Technology, Prague"
"弗里堡大学","Université de Fribourg"
"曼尼托巴大学","University of Manitoba"
"曼彻斯特城市大学","Manchester Metropolitan University"
"阿博大学","Abo Akademi University"
"博尔扎诺自由大学","Libera Universita' di Bolzano"
"UiT挪威北极大学","UiT The Arctic University of Norway"
"费萨尔国王大学","King Faisal University"
"萨尔茨堡巴黎罗德隆大学","Paris Lodron University of Salzburg"
"República大学（乌德拉尔）","Universidad de la República (Udelar)"
"里尔大学","Université de Lille"
"费萨拉巴德农业大学","University of Agriculture Faisalabad"
"南佛罗里达大学","University of South Florida"
"中国矿业大学","China University of Mining"
"德拉萨大学","De La Salle University"
"纽芬兰纪念大学","Memorial University of Newfoundland"
"威尼斯福斯卡里宫大学","Ca’ Foscari University of Venice"
"金斯顿大学","Kingston University"
"伊斯兰堡大学","COMSATS University Islamabad"
"印度理工学院海德拉巴","Indian Institute of Technology Hyderabad"
"孟买大学","University of Mumbai"
"俄克拉荷马大学","University of Oklahoma"
"博拉理工学院","Birla Institute of Technology and Science"
"长庚大学","Chang Gung University"
"卡尔·弗朗岑斯大学格拉茨大学","Karl-Franzens-Universitaet Graz"
"帕拉茨基大学","Palacky University Olomouc"
"史蒂文斯理工学院","Stevens Institute of Technology"
"多特蒙德工业大学","Technische Universität Dortmund"
"华东理工大学","East China University of Science and Technology"
"贝鲁特阿拉伯大学","Beirut Arab University"
"迪拜美国大学","American University in Dubai"
"海法大学","University of Haifa"
"布拉维再也大学","University of Brawijaya"
"韩国外国语大学","HUFS - Hankuk (Korea) University of Foreign Studies"
"南京航空航天大学","Nanjing University of Aeronautics and Astronautics"
"立命馆大学","Ritsumeikan University"
"布拉迪斯拉发的夸美纽斯大学","Comenius University in Bratislava"
"同德胜大学","Ton Duc Thang University"
"中国石油大学（华东）","China University of Petroleum (East China)"
"塞浦路斯科技大学","Cyprus University of Technology"
"巴库州立大学","Baku State University"
"托木斯克理工大学","Tomsk Polytechnic University"
"蔚蓝海岸大学","Université Côte d'Azur"
"雷根斯堡大学","Universität Regensburg"
"东地中海大学","Eastern Mediterranean University"
"南里奥格兰德联邦大学","Federal University of Rio Grande do Sul"
"韦洛尔技术学院","Vellore Institute of Technology"
"伦斯勒理工学院","Rensselaer Polytechnic Institute"
"共生国际大学","Symbiosis International University"
"密苏里大学","Mizzou - University of Missouri"
"安卡拉大学","Ankara Üniversitesi"
"北京化工大学","Beijing University of Chemical Technology"
"哈萨克国立农业大学","Kazakh National Agrarian University KazNAU"
"东京医科齿科大学","Tokyo Medical and Dental University"
"阿尔卡拉大学","Universidad de Alcala"
"克拉根福大学","University of Klagenfurt"
"泛美大学","Universidad Panamericana (UP)"
"中佛罗里达大学","University of Central Florida"
"全北国立大学","Jeonbuk National University"
"卡塞萨特大学","Kasetsart University"
"萨格勒布大学","University of Zagreb"
"香港岭南大学","Lingnan University, Hong Kong"
"南京理工大学","Nanjing University of Science & Technology"
"布伦瑞克工业大学","Technical University of Braunschweig"
"雷恩第一大学","Université de Rennes 1"
"霍恩海姆大学","University Hohenheim"
"内布拉斯加大学-林肯","University of Nebraska - Lincoln"
"布达佩斯科技经济大学","Budapest University of Technology & Economics"
"伦敦大学金史密斯学院","Goldsmiths University London"
"里斯本大学研究所","Instituto Universitario de Lisboa"
"辛辛那提大学","University of Cincinnati"
"帕特雷大学","University of Patras"
"英格兰西部大学","University of the West of England"
"巴基斯坦工程与应用科学研究所","Pakistan Institute of Engineering and Applied Sciences (PIEAS)"
"萨塔姆·本·阿卜杜勒阿齐兹王子大学","Prince Sattam Bin Abdulaziz University"
"基辅国立大学","Taras Shevchenko National University Kiev"
"俄罗斯国立科技大学","The National University of Science and Technology MISIS"
"米尔佐·乌鲁别克乌兹别克斯坦国立大学","National University of Uzbekistan named after Mirzo Ulugbek"
"委内瑞拉中央大学","Universidad Central de Venezuela"
"突尼斯艾尔马纳尔大学","Universite de Tunis El Manar"
